drzava;ime_priimek;pozicija;rojstni_datum;leto
SRB;Blagoje Vidinić;NEZNANO;11061934;1960
SRB;Vladimir Djurković;BRANILEC;6111937;1960
SRB;Fahrudin Jusufi;NEZNANO;8121939;1960
SRB;Ante Žanetić;NEZNANO;18111936;1960
SRB;Jovan Miladinović;NEZNANO;30011939;1960
SRB;Željko Perušić;NEZNANO;23031936;1960
SRB;Željko Matuš;NEZNANO;9081935;1960
SRB;Dražan Jerković;NEZNANO;6081936;1960
SRB;Milan Galić;NAPADALEC;8031938;1960
SRB;Dragoslav Šekularac;NAPADALEC;30111937;1960
SRB;Borivoje Kostić;NAPADALEC;14061930;1960
URS;Lev Yashin;VRATAR;22101929;1960
URS;Givi Chokheli;BRANILEC;27061937;1960
URS;Anatoli Maslenkin;VEZNI IGRALEC;29061930;1960
URS;Anatoli Krutikov;BRANILEC;21091933;1960
URS;Yuri Voinov;VEZNI IGRALEC;29111931;1960
URS;Igor Netto;VEZNI IGRALEC;9011930;1960
URS;Slava Metreveli;VEZNI IGRALEC;30051936;1960
URS;Valentin Ivanov;NAPADALEC;19111934;1960
URS;Viktor Ponedelnik;NAPADALEC;22051937;1960
URS;Valentin Bubukin;NAPADALEC;23041933;1960
URS;Mikheil Meskhi;NAPADALEC;12011937;1960
FRA;Georges Lamia;VRATAR;14031933;1960
FRA;Jean Wendling;BRANILEC;29041934;1960
FRA;Robert Herbin;VEZNI IGRALEC;30031939;1960
FRA;Paul Sauvage;NAPADALEC;17031939;1960
FRA;Jean Taillandier;VRATAR;22011938;1960
FRA;Bruno Rodzik;BRANILEC;29051935;1960
FRA;Robert Jonquet;BRANILEC;3051925;1960
FRA;André Chorda;BRANILEC;20021938;1960
FRA;Jean-Jacques Marcel;BRANILEC;13061931;1960
FRA;Robert Siatka;VEZNI IGRALEC;20061934;1960
FRA;François Heutte;NAPADALEC;21021938;1960
FRA;Yvon Douis;NAPADALEC;16051935;1960
FRA;Maryan Wisnieski;VEZNI IGRALEC;1021937;1960
FRA;Michel Stievenard;NAPADALEC;21091937;1960
FRA;Jean Vincent;VEZNI IGRALEC;29111930;1960
TCH;Viliam Schrojf;NEZNANO;2081931;1960
TCH;František Šafránek;NEZNANO;2011931;1960
TCH;Ján Popluhár;NEZNANO;12091935;1960
CZE;Ladislav Novák;BRANILEC;5121931;1960
TCH;Titus Buberník;NEZNANO;12101933;1960
TCH;Josef Masopust;VEZNI IGRALEC;9021931;1960
SVK;Ladislav Pavlovič;NEZNANO;8041926;1960
