datum;domaca_ekipa;gostujoca_ekipa;domaci_goli;gostujoci_goli;del_prvenstva;dodatek;stadion;mesto;stevilo_gledalcev;leto
6 julij 1960 (1960-07-06);Francija ; Jugoslavija;4;5;Polfinale;;Parc des Princes; Pariz;26370;1960
6 julij 1960 (1960-07-06);Češkoslovaška ; Sovjetska zveza;0;3;Polfinale;;Stade VélodRim; Marseille;25184;1960
9 julij 1960 (1960-07-09);Češkoslovaška ; Francija;2;0;Tekma za 3.mesto;;Stade VélodRim; Marseille;9438;1960
10 julij 1960 (1960-07-10);Sovjetska zveza ; Jugoslavija;2;1;Finale;Sovjetska zveza zmaga po podaljšku;Parc des Princes; Pariz;17966;1960
17 junij 1964 (1964-06-17);Španija ; Madžarska;2;1;Polfinale;Španija zmaga po podaljšku;Santiago Bernabéu; Madrid;34713;1964
17 junij 1964 (1964-06-17);Danska ; Sovjetska zveza;0;3;Polfinale;;Camp Nou; Barcelona;38556;1964
20 junij 1964 (1964-06-20);Madžarska ; Danska;3;1;Tekma za 3.mesto;Madžarska zmaga po podaljšku;Camp Nou; Barcelona;3869;1964
21 junij 1964 (1964-06-21);Španija ; Sovjetska zveza;2;1;Finale;;Santiago Bernabéu; Madrid;79115;1964
5 junij 1968 (1968-06-05);Italija ; Sovjetska zveza;0;0;Polfinale;Sovjetska zveza zmaga po podaljšku;Stadion San Paolo; Neapelj;68582;1968
5 junij 1968 (1968-06-05);Jugoslavija ; Anglija;1;0;Polfinale;;Stadion Comunale; Firence;21834;1968
8 junij 1968 (1968-06-08);Anglija ; Sovjetska zveza;2;0;Tekma za 3.mesto;;Stadion Olimpico; Rim;68817;1968
8 junij 1968 (1968-06-08);Italija ; Jugoslavija;1;1;Finale;Jugoslavija zmaga po podaljšku;Stadion Olimpico; Rim;68817;1968
10 junij 1968 (1968-06-10);Italija ; Jugoslavija;2;0;Finale;;Stadion Olimpico; Rim;32886;1968
14 junij 1972 (1972-06-14);Madžarska ; Sovjetska zveza;0;1;Polfinale;;Stade Émile Versé; Bruselj;1659;1972
14 junij 1972 (1972-06-14);Belgija ; Zahodna Nemčija;1;2;Polfinale;;BosuilStadionn; Antwerp;55669;1972
17 junij 1972 (1972-06-17);Madžarska ; Belgija;1;2;Tekma za 3.mesto;;Stade Maurice Dufrasne; Liège;6184;1972
18 junij 1972 (1972-06-18);Zahodna Nemčija ; Sovjetska zveza;3;0;Finale;;Heysel Stadium; Bruselj;43066;1972
16 junij 1976 (1976-06-16);Češkoslovaška ; Nizozemska;3;1;Polfinale;Češkoslovaška zmaga po podaljšku;Stadionn Maksimir; Zagreb;17879;1976
17 junij 1976 (1976-06-17);Jugoslavija ; Zahodna Nemčija;2;4;Polfinale;Zahodna Nemčija zmaga po podaljšku;Red Star Stadium; Beograd;50652;1976
19 junij 1976 (1976-06-19);Nizozemska ; Jugoslavija;3;2;Tekma za 3.mesto;Nizozemska zmaga po podaljšku;Stadionn Maksimir; Zagreb;6766;1976
20 junij 1976 (1976-06-20);Češkoslovaška ; Zahodna Nemčija;2;2;Finale;Češkoslovaška zmaga na enajstmetrovkah 5-3;Red Star Stadium; Beograd;30790;1976
11 junij 1980 (1980-06-11);Češkoslovaška ; Zahodna Nemčija;0;1;Skupina 1;;Stadion Olimpico; Rim;10500;1980
11 junij 1980 (1980-06-11);Nizozemska ; Grčija;1;0;Skupina 1;;Stadion San Paolo; Neapelj;14990;1980
14 junij 1980 (1980-06-14);Zahodna Nemčija ; Nizozemska;3;2;Skupina 1;;Stadion San Paolo; Neapelj;29889;1980
14 junij 1980 (1980-06-14);Grčija ; Češkoslovaška;1;3;Skupina 1;;Stadion Olimpico; Rim;7614;1980
17 junij 1980 (1980-06-17);Nizozemska ; Češkoslovaška;1;1;Skupina 1;;San Siro; Milan;11889;1980
17 junij 1980 (1980-06-17);Grčija ; Zahodna Nemčija;0;0;Skupina 1;;Stadion Comunale; Turin;13901;1980
12 junij 1980 (1980-06-12);Belgija ; Anglija;1;1;Skupina 2;;Stadion Comunale; Turin;15186;1980
12 junij 1980 (1980-06-12);Španija ; Italija;0;0;Skupina 2;;San Siro; Milan;46337;1980
15 junij 1980 (1980-06-15);Belgija ; Španija;2;1;Skupina 2;;San Siro; Milan;11430;1980
15 junij 1980 (1980-06-15);Anglija ; Italija;0;1;Skupina 2;;Stadion Comunale; Turin;59649;1980
18 junij 1980 (1980-06-18);Španija ; Anglija;1;2;Skupina 2;;Stadion San Paolo; Neapelj;14440;1980
18 junij 1980 (1980-06-18);Italija ; Belgija;0;0;Skupina 2;;Stadion Olimpico; Rim;42318;1980
21 junij 1980 (1980-06-21);Češkoslovaška ; Italija;1;1;Tekma za 3.mesto;;Stadion San Paolo; Neapelj;24652;1980
22 junij 1980 (1980-06-22);Belgija ; Zahodna Nemčija;1;2;Finale;;Stadion Olimpico; Rim;47860;1980
12 junij 1984 (1984-06-12);Francija ; Danska;1;0;Skupina 1;;Parc des Princes; Pariz;47570;1984
13 junij 1984 (1984-06-13);Belgija ; Jugoslavija;2;0;Skupina 1;;Stade Félix-Bollaert; Lens;41525;1984
16 junij 1984 (1984-06-16);Francija ; Belgija;5;0;Skupina 1;;Stade de la Beaujoire; Nantes;51359;1984
16 junij 1984 (1984-06-16);Danska ; Jugoslavija;5;0;Skupina 1;;Stade de Gerland; Lyon;34736;1984
19 junij 1984 (1984-06-19);Francija ; Jugoslavija;3;2;Skupina 1;;Stade Geoffroy-Guichard; Saint-Étienne;47510;1984
19 junij 1984 (1984-06-19);Danska ; Belgija;3;2;Skupina 1;;Stade de la Meinau; Strasbourg;36911;1984
14 junij 1984 (1984-06-14);Zahodna Nemčija ; Portugalska;0;0;Skupina 2;;Stade de la Meinau; Strasbourg;44707;1984
